"Library","Creation Date/Time","Copy ID"
"OCRL-DUBLN","2019-07","356"
"OCRL-DUBLN","2019-08","403"
"OCRL-DUBLN","2019-09","304"
"OCRL-DUBLN","2019-10","299"
"OCRL-DUBLN","2019-11","167"
"OCRL-DUBLN","2019-12","227"
"OCRL-DUBLN","2020-01","314"
"OCRL-DUBLN","2020-02","197"
"OCRL-DUBLN","2020-03","430"
"OCRL-DUBLN","2020-04","39"
"OCRL-DUBLN","2020-05","46"
"OCRL-DUBLN","2020-06","990"
"OCRL-GIBSN","2019-07","46"
"OCRL-GIBSN","2019-08","47"
"OCRL-GIBSN","2019-09","8"
"OCRL-GIBSN","2019-10","39"
"OCRL-GIBSN","2019-11","26"
"OCRL-GIBSN","2019-12","15"
"OCRL-GIBSN","2020-01","22"
"OCRL-GIBSN","2020-02","38"
"OCRL-GIBSN","2020-03","20"
"OCRL-GIBSN","2020-04","22"
"OCRL-GIBSN","2020-06","74"
"OCRL-SANDR","2019-07","123"
"OCRL-SANDR","2019-08","115"
"OCRL-SANDR","2019-09","77"
"OCRL-SANDR","2019-10","66"
"OCRL-SANDR","2019-11","126"
"OCRL-SANDR","2019-12","84"
"OCRL-SANDR","2020-01","178"
"OCRL-SANDR","2020-02","156"
"OCRL-SANDR","2020-03","40"
"OCRL-SANDR","2020-04","29"
"OCRL-SANDR","2020-06","90"
"OCRL-SOPER","2019-07","52"
"OCRL-SOPER","2019-08","29"
"OCRL-SOPER","2019-09","30"
"OCRL-SOPER","2019-10","68"
"OCRL-SOPER","2019-11","23"
"OCRL-SOPER","2019-12","9"
"OCRL-SOPER","2020-01","45"
"OCRL-SOPER","2020-02","24"
"OCRL-SOPER","2020-03","35"
"OCRL-SOPER","2020-04","10"
"OCRL-SOPER","2020-06","35"
"OCRL-WRIGH","2019-07","34"
"OCRL-WRIGH","2019-08","25"
"OCRL-WRIGH","2019-09","69"
"OCRL-WRIGH","2019-10","45"
"OCRL-WRIGH","2019-11","79"
"OCRL-WRIGH","2019-12","11"
"OCRL-WRIGH","2020-01","40"
"OCRL-WRIGH","2020-02","27"
"OCRL-WRIGH","2020-03","9"
"OCRL-WRIGH","2020-04","1"
"OCRL-WRIGH","2020-06","100"
