"Library Short (Policy) Name","Check Out Month","Circulation Modifier","Count"
"OCRL-DUBLN","2019-07","audiobook","251"
"OCRL-DUBLN","2019-07","book","9555"
"OCRL-DUBLN","2019-07","dvd-0","7"
"OCRL-DUBLN","2019-07","dvd-2","230"
"OCRL-DUBLN","2019-07","e-device","62"
"OCRL-DUBLN","2019-07","statepass","12"
"OCRL-DUBLN","2019-07","video-long","4"
"OCRL-DUBLN","2019-07",,"38"
"OCRL-DUBLN","2019-08","audiobook","213"
"OCRL-DUBLN","2019-08","book","6782"
"OCRL-DUBLN","2019-08","dvd-0","3"
"OCRL-DUBLN","2019-08","dvd-2","192"
"OCRL-DUBLN","2019-08","e-device","30"
"OCRL-DUBLN","2019-08","statepass","5"
"OCRL-DUBLN","2019-08","video-long","4"
"OCRL-DUBLN","2019-08",,"38"
"OCRL-DUBLN","2019-09","audiobook","175"
"OCRL-DUBLN","2019-09","book","6916"
"OCRL-DUBLN","2019-09","cd","2"
"OCRL-DUBLN","2019-09","dvd-0","7"
"OCRL-DUBLN","2019-09","dvd-2","254"
"OCRL-DUBLN","2019-09","e-device","34"
"OCRL-DUBLN","2019-09","statepass","3"
"OCRL-DUBLN","2019-09","video-long","8"
"OCRL-DUBLN","2019-09",,"33"
"OCRL-DUBLN","2019-10","audiobook","202"
"OCRL-DUBLN","2019-10","book","7619"
"OCRL-DUBLN","2019-10","cd","2"
"OCRL-DUBLN","2019-10","dvd-0","2"
"OCRL-DUBLN","2019-10","dvd-2","314"
"OCRL-DUBLN","2019-10","e-device","27"
"OCRL-DUBLN","2019-10","statepass","1"
"OCRL-DUBLN","2019-10","video-long","3"
"OCRL-DUBLN","2019-10",,"48"
"OCRL-DUBLN","2019-11","audiobook","144"
"OCRL-DUBLN","2019-11","book","6004"
"OCRL-DUBLN","2019-11","cd","1"
"OCRL-DUBLN","2019-11","dvd-0","2"
"OCRL-DUBLN","2019-11","dvd-2","426"
"OCRL-DUBLN","2019-11","e-device","30"
"OCRL-DUBLN","2019-11","statepass","2"
"OCRL-DUBLN","2019-11",,"39"
"OCRL-DUBLN","2019-12","audiobook","167"
"OCRL-DUBLN","2019-12","book","4598"
"OCRL-DUBLN","2019-12","dvd-0","2"
"OCRL-DUBLN","2019-12","dvd-2","376"
"OCRL-DUBLN","2019-12","e-device","17"
"OCRL-DUBLN","2019-12","statepass","2"
"OCRL-DUBLN","2019-12",,"33"
"OCRL-DUBLN","2020-01","audiobook","217"
"OCRL-DUBLN","2020-01","book","5735"
"OCRL-DUBLN","2020-01","cd","2"
"OCRL-DUBLN","2020-01","dvd-0","2"
"OCRL-DUBLN","2020-01","dvd-2","395"
"OCRL-DUBLN","2020-01","e-device","11"
"OCRL-DUBLN","2020-01","statepass","3"
"OCRL-DUBLN","2020-01","video-long","1"
"OCRL-DUBLN","2020-01",,"55"
"OCRL-DUBLN","2020-02","audiobook","211"
"OCRL-DUBLN","2020-02","book","6161"
"OCRL-DUBLN","2020-02","dvd-2","395"
"OCRL-DUBLN","2020-02","e-device","16"
"OCRL-DUBLN","2020-02",,"37"
"OCRL-DUBLN","2020-03","audiobook","132"
"OCRL-DUBLN","2020-03","book","3577"
