"Owning Library","Item Barcode","Shelving Location Name","Use Count","Title","Author","Pubdate","Callnumber Label","Dewy Hundreds","Dewy Tens","Status","Deleted","Price","Edit Date","Create Date"
"OCRL-DUBLN","31040000009018","JUV","46","Olivia","Falconer, Ian 1959-","2000","E FALC",,,"13","1","25.00","2020-06-25","2001-07-13"
"OCRL-DUBLN","31040000010123","FIC","19","Dawn in Eclipse Bay","Krentz, Jayne Ann","2001","FIC KREN",,,"13","1","25.00","2020-06-25","2001-07-10"
"OCRL-DUBLN","31040000015155","JUV","12","The fall","Nix, Garth","2000","J NIX",,,"13","1","25.00","2020-06-25","2001-07-06"
"OCRL-DUBLN","31040000016468","JUV","18","The cay","Taylor, Theodore 1921-2006","1970","J TAYL",,,"13","1","25.00","2020-06-25","2001-07-16"
"OCRL-DUBLN","31040000033232","AV","1","The legend of the Bermuda Triangle","Vintilla-Friedman, Susan.","1994","CAS VINT",,,"13","1","25.00","2020-06-25","2001-08-22"
"OCRL-DUBLN","31040000033281","SPECNEEDS","0","Montana showdown","Stine, Jean Marie.","1996","TBC CAS STIN",,,"13","1","25.00","2020-06-26","2001-08-22"
"OCRL-DUBLN","31040000033356","SPECNEEDS","0","Nowhere to hide","Stine, Jean Marie.","1994","TBC CAS STIN",,,"13","1","25.00","2020-06-26","2001-08-22"
"OCRL-DUBLN","31040000033406","SPECNEEDS","5","Murder in Cabin A-13","Stine, Jean Marie.","1994","TBC CAS STIN",,,"13","1","25.00","2020-06-26","2001-08-22"
"OCRL-DUBLN","31040000033448","SPECNEEDS","0","No thanks, not for me","Fox, Sandra I.","1994","TBC CAS FIC FOX",,,"13","1","25.00","2020-06-26","2001-08-22"
"OCRL-DUBLN","31040000033455","SPECNEEDS","2","Danger in the canyon","Mullin, Penn","1994","TBC CAS MULL",,,"13","1","25.00","2020-06-26","2001-08-22"
