"Owning Library","Item Barcode","Use Count","Shelving Location Name","Title","Author","Pubdate","Callnumber Label","Dewy Hundreds","Dewy Tens","Status","Deleted","Price","Create Date","Edit Date"
"OCRL-DUBLN","31040000133412","0","NONFIC","Comparative study Bible : New International Version, Amplified Version, King James Version, updated New American Standard Bible",,"1999","220.52 COMP","200","220","0","0","25.00","2019-11-07","2020-02-27"
"OCRL-DUBLN","31040000163633","0","GEORGIA","Georgia's weather watchers : an historical account of weather, people, and climate","Plummer, Gayther L.","1990","GA 551.5 PLUM","500","550","2","0","25.00","2019-09-11","2019-09-16"
"OCRL-DUBLN","31040000309871","3","NONFIC","Winter world : the ingenuity of animal survival","Heinrich, Bernd 1940-","2003","591.43 HEIN","500","590","0","0","25.00","2019-09-23","2019-11-22"
"OCRL-DUBLN","31040001164424","0","JUV","Fungi : : mushrooms, toadstools, molds, yeasts, and other fungi",,,"J 579.5 WEAR","500","570","0","0","25.00","2019-09-23","2019-09-23"
"OCRL-DUBLN","31040001200525","0","NEW-BKS","The survivors project : telling the truth about life after sexual abuse",,"2013","362.883 SURV","300","360","0","0","25.00","2019-12-27","2020-01-07"
"OCRL-DUBLN","31040001318780","0","NONFIC","Tears and healing : the journey to the light after an abusive relationship","Skerritt, Richard.","2005","362.8292 SKER","300","360","0","0","25.00","2019-12-27","2020-01-07"
"OCRL-DUBLN","31040001325868","0","AV","Personal training with Jackie. Xtreme timesaver training",,"2010","DVD 613.7 PERS d#876","600","610","0","0","25.00","2019-10-24","2019-10-25"
"OCRL-DUBLN","31040001400158","2","EASY-READER","A friend at the zoo = Un amigo en el zoológico","Tillworth, Mary","2014","E TILL",,,"0","0","25.00","2019-11-13","2019-12-09"
"OCRL-DUBLN","31040001433902","9","JUV","Incredibles 2",,"2018","DVD J INCR 2 j#345","300","340","0","0","25.00","2019-08-30","2020-03-11"
"OCRL-DUBLN","31040001434918","0","EASY-READER","Sleeping Beauty","Sage, Alison","2015","E SAGE",,,"5","0","25.00","2020-02-19","2020-02-19"
"OCRL-DUBLN","31040001440378","7","LEASE","The second-worst restaurant in France","McCall Smith, Alexander 1948-","2019","FIC MCCA",,,"13","1","25.00","2019-07-11","2020-06-25"
"OCRL-DUBLN","31040001440386","14","LEASE","The shameless","Atkins, Ace","2019","FIC ATKI",,,"13","1","25.00","2019-07-11","2020-06-25"
"OCRL-DUBLN","31040001440402","3","LEASE","On the clock : what low-wage work did to me and how it drives America insane","Guendelsberger, Emily","2019","331.0973 GUEN","300","330","0","0","25.00","2019-07-11","2020-06-24"
"OCRL-DUBLN","31040001440410","8","LEASE","Red metal","Greaney, Mark","2019","FIC GREA",,,"13","1","25.00","2019-07-11","2020-06-25"
"OCRL-DUBLN","31040001440428","7","LEASE","Sophia, princess among beasts","Patterson, James 1947-","2019","SF PATT",,,"13","1","25.00","2019-07-11","2020-06-25"
"OCRL-DUBLN","31040001440436","11","NONFIC","American predator : the hunt for the most meticulous serial killer of the 21st century","Callahan, Maureen (Journalist)","2019","364.1523 CALL","300","360","0","0","25.00","2019-07-11","2020-03-11"
"OCRL-DUBLN","31040001440444","8","LEASE","Big sky","Atkinson, Kate","2019","FIC ATKI",,,"13","1","25.00","2019-07-11","2020-06-25"
"OCRL-DUBLN","31040001440451","6","JUV","Mermin. Book one Out of water","Weiser, Joey 1983-","2016","J WEIS",,,"0","0","25.00","2019-07-12","2020-06-17"
"OCRL-DUBLN","31040001440469","11","JUV","Ghost hog","Weiser, Joey 1983-","2019","J WEIS",,,"0","0","25.00","2019-07-12","2020-06-17"
"OCRL-DUBLN","31040001440477","4","JUV","Mermin. Book two The big catch","Weiser, Joey 1983-","2016","J WEIS",,,"0","0","25.00","2019-07-12","2020-03-10"
"OCRL-DUBLN","31040001440485","2","JUV","Mermin. Book three Deep dive","Weiser, Joey 1983-","2017","J WEIS",,,"0","0","25.00","2019-07-12","2020-03-10"
"OCRL-DUBLN","31040001440493","3","JUV","Mermin. Book four Into Atlantis","Weiser, Joey 1983-","2018","J WEIS",,,"0","0","25.00","2019-07-12","2020-03-03"
"OCRL-DUBLN","31040001440501","12","LEASE","Window on the bay : a novel","Macomber, Debbie","2019","FIC MACO",,,"13","1","25.00","2019-07-12","2020-06-25"
"OCRL-DUBLN","31040001440519","0","LEASE","A terrible thing to waste : environmental racism and its assault on the American mind","Washington, Harriet A.","2019","304.2 WASH","300","300","13","1","25.00","2019-07-12","2020-06-25"
"OCRL-DUBLN","31040001440527","11","LEASE","Temptation's darling","Lindsey, Johanna","2019","FIC LIND",,,"13","1","25.00","2019-07-12","2020-06-25"
"OCRL-DUBLN","31040001440535","13","LEASE","The other Mrs. Miller","Dickson, Allison M.","2019","FIC DICK",,,"13","1","25.00","2019-07-12","2020-06-25"
"OCRL-DUBLN","31040001440543","9","LEASE","The seekers","Graham, Heather","2019","FIC GRAH",,,"13","1","25.00","2019-07-15","2020-06-25"
"OCRL-DUBLN","31040001440550","13","LEASE","One good deed","Baldacci, David","2019","FIC BALD",,,"13","1","25.00","2019-07-15","2020-06-25"
"OCRL-DUBLN","31040001440568","7","LEASE","The Nickel boys : a novel","Whitehead, Colson 1969-","2019","FIC WHIT",,,"13","1","25.00","2019-07-15","2020-06-25"
"OCRL-DUBLN","31040001440576","6","LEASE","Shamed","Castillo, Linda","2019","FIC CAST",,,"13","1","25.00","2019-07-15","2020-06-25"
"OCRL-DUBLN","31040001440584","12","LEASE","The new girl : a novel","Silva, Daniel 1960-","2019","FIC SILV",,,"13","1","25.00","2019-07-15","2020-06-25"
"OCRL-DUBLN","31040001440592","7","FIC","Knife","Nesbø, Jo 1960-","2019","FIC NESB",,,"0","0","5.00","2019-07-15","2020-03-09"
"OCRL-DUBLN","31040001440600","10","LEASE","Bark of night","Rosenfelt, David","2019","FIC ROSE",,,"13","1","25.00","2019-07-15","2020-06-25"
"OCRL-DUBLN","31040001440618","4","LEASE","Once a spy","Putney, Mary Jo","2019","FIC PUTN",,,"13","1","25.00","2019-08-02","2020-06-25"
"OCRL-DUBLN","31040001440626","6","LEASE","Finding Zsa Zsa : the Gabors behind the legend","Staggs, Sam","2019","791.0922 STAG","700","790","0","0","25.00","2019-08-02","2020-02-29"
"OCRL-DUBLN","31040001440634","1","FIC","The Peaceful Valley crime wave","Pronzini, Bill","2019","FIC PRON",,,"0","0","5.00","2019-08-12","2020-03-09"
"OCRL-DUBLN","31040001440642","0","LEASE","She said : breaking the sexual harassment story that helped ignite a movement","Kantor, Jodi 1975-","2019","305.4209 KANT","300","300","0","0","25.00","2019-09-20","2019-09-20"
"OCRL-DUBLN","31040001440683","1","LEASE","Anthony Bourdain remembered.",,"2019","641.5092 BOUR","600","640","0","0","25.00","2019-10-11","2020-02-01"
"OCRL-DUBLN","31040001440816","1","FIC","Bringing down the duke","Dunmore, Evie","2019","FIC DUNM",,,"6","0","5.00","2019-10-14","2020-06-30"
"OCRL-DUBLN","31040001440824","4","NEW-BKS","Here comes Santa paws","Berenson, Laurien","2019","FIC BERE",,,"1","0","25.00","2019-10-14","2020-06-29"
"OCRL-DUBLN","31040001440832","6","FIC","The world that we knew","Hoffman, Alice","2019","FIC HOFF",,,"0","0","5.00","2019-10-14","2020-06-16"
"OCRL-DUBLN","31040001440840","3","FIC","Ellie and the harpmaker","Prior, Hazel","2019","FIC PRIO",,,"0","0","5.00","2019-10-14","2020-06-16"
"OCRL-DUBLN","31040001440857","7","FIC","Strangers she knows","Dodd, Christina","2019","FIC DODD",,,"0","0","5.00","2019-10-14","2020-06-16"
"OCRL-DUBLN","31040001440865","4","FIC","The warehouse : a novel","Hart, Rob (Fiction writer)","2019","FIC HART",,,"0","0","5.00","2019-10-14","2020-06-16"
"OCRL-DUBLN","31040001440881","7","FIC","The oracle","Cahn, Jonathan","2019","FIC CAHN",,,"1","0","5.00","2019-10-14","2020-06-09"
"OCRL-DUBLN","31040001440899","0","FIC","Dead in a week","Kane, Andrea","2019","FIC KANE",,,"0","0","5.00","2019-10-14","2019-10-15"
"OCRL-DUBLN","31040001440907","1","FIC","Ghost fire","Smith, Wilbur A.","2019","FIC SMIT",,,"0","0","5.00","2019-10-14","2020-06-16"
"OCRL-DUBLN","31040001440915","2","LEASE","You are worth it : building a life worth fighting for","Carpenter, Kyle 1989-","2019","92 CARP","000","090","0","0","25.00","2019-10-14","2020-01-17"
"OCRL-DUBLN","31040001440923","7","LEASE","A book of bones","Connolly, John 1968-","2019","FIC CONN",,,"13","1","25.00","2019-10-14","2020-06-25"
"OCRL-DUBLN","31040001440931","6","LEASE","Christmas shopaholic : a novel","Kinsella, Sophie","2019","FIC KINS",,,"13","1","25.00","2019-10-14","2020-06-25"
"OCRL-DUBLN","31040001440949","4","FIC","Owl be home for Christmas","Andrews, Donna","2019","FIC ANDR",,,"0","0","5.00","2019-10-14","2020-06-22"
"OCRL-DUBLN","31040001440956","12","LEASE","Olive, again","Strout, Elizabeth","2019","FIC STRO",,,"1","0","25.00","2019-10-14","2020-03-16"
"OCRL-DUBLN","31040001440964","4","LEASE","A bitter feast : a novel","Crombie, Deborah","2019","FIC CROM",,,"13","1","25.00","2019-10-14","2020-06-25"
"OCRL-DUBLN","31040001440972","2","FIC","Well met","DeLuca, Jen","2019","FIC DELU",,,"0","0","5.00","2019-10-14","2020-06-16"
"OCRL-DUBLN","31040001440980","6","FIC","This tender land : a novel","Krueger, William Kent","2019","FIC KRUE",,,"6","0","5.00","2019-10-14","2020-06-30"
"OCRL-DUBLN","31040001440998","0","FIC","The man with no face","May, Peter 1951-","2019","FIC MAY",,,"0","0","5.00","2019-10-14","2019-10-15"
"OCRL-DUBLN","31040001441004","7","FIC","Christmas cocoa murder",,"2019","FIC CHRI",,,"0","0","5.00","2019-10-14","2020-06-19"
"OCRL-DUBLN","31040001441012","4","FIC","Hart's Hollow Farm","Dailey, Janet","2019","FIC DAIL",,,"0","0","5.00","2019-10-14","2020-06-16"
"OCRL-DUBLN","31040001441020","1","LG-PRNT","The fifth doctrine","Robards, Karen","2019","LP FIC ROBA",,,"0","0","25.00","2019-10-14","2019-10-23"
"OCRL-DUBLN","31040001441038","1","JUV","The hundred-year barn","MacLachlan, Patricia","2019","E MACL",,,"0","0","25.00","2019-10-14","2019-11-14"
"OCRL-DUBLN","31040001441046","1","JUV","Our favorite day","Oh, Joowon","2019","E OH",,,"0","0","25.00","2019-10-14","2019-11-05"
"OCRL-DUBLN","31040001441053","1","JUV","Aalfred and Aalbert","Hood, Morag (Illustrator)","2019","E HOOD",,,"0","0","25.00","2019-10-14","2019-11-04"
"OCRL-DUBLN","31040001441061","5","JUV","Once upon a goat","Richards, Dan 1966-","2019","E RICH",,,"0","0","25.00","2019-10-14","2020-06-17"
"OCRL-DUBLN","31040001441079","1","JUV","I'm trying to love math","Barton, Bethany 1982-","2019","J 510 BART","500","510","7","0","25.00","2019-10-14","2020-06-30"
"OCRL-DUBLN","31040001441087","2","JUV","The great shark rescue : saving the whale sharks","Markle, Sandra","2020","J 597.33 MARK","500","590","0","0","25.00","2019-10-14","2020-02-26"
"OCRL-DUBLN","31040001441095","0","JUV","The brave cyclist : the true story of a Holocaust hero","Hoffman, Amalia","2019","J 92 BART",,,"0","0","25.00","2019-10-14","2019-10-15"
"OCRL-DUBLN","31040001441103","3","JUV","A place to land : Martin Luther King Jr. and the speech that inspired a nation","Wittenstein, Barry","2019","J 323.092 WITT","300","320","0","0","25.00","2019-10-14","2020-06-02"
"OCRL-DUBLN","31040001441111","4","JUV","Art sparks : draw, paint, make, and get creative with 53 amazing projects!","Abrams, Marion","2019","J 745.5 ABRA","700","740","1","0","25.00","2019-10-28","2020-03-04"
"OCRL-DUBLN","31040001441129","1","JUV","The book rescuer : how a mensch from Massachusetts saved Yiddish literature for generations to come","Macy, Sue","2019","J 92 LANS",,,"0","0","25.00","2019-10-15","2020-06-02"
"OCRL-DUBLN","31040001441137","0","JUV","Juana & Lucas. Big problemas","Medina, Juana 1980-","2019","J MEDI",,,"0","0","25.00","2019-10-15","2019-10-15"
"OCRL-DUBLN","31040001441145","0","JUV","We need prairie dogs","Smalls, June 1984-","2019","J 599.367 SMAL","500","590","0","0","25.00","2019-10-15","2019-10-15"
"OCRL-DUBLN","31040001441152","0","JUV","Netflix","Burling, Alexis","2019","J 384.555 BURL","300","380","0","0","25.00","2019-10-15","2019-10-15"
"OCRL-DUBLN","31040001441160","1","JUV","Pro football's all-time greatest comebacks","Lyon, Drew","2019","J 796.3326 LYON","700","790","0","0","25.00","2019-10-15","2020-02-28"
"OCRL-DUBLN","31040001441178","1","JUV","Chick and Brain. Smell my foot!","Bell, Cece","2019","J BELL",,,"0","0","25.00","2019-10-15","2019-11-11"
"OCRL-DUBLN","31040001441186","3","JUV","Top-secret smackdown","Barnett, Mac","2019","J BARN",,,"0","0","25.00","2019-10-15","2019-12-30"
"OCRL-DUBLN","31040001441194","3","JUV","Stay","Pyron, Bobbie","2019","J PYRO",,,"0","0","25.00","2019-10-15","2019-11-12"
"OCRL-DUBLN","31040001441202","1","JUV","Lalani of the distant sea","Kelly, Erin Entrada","2019","J KELL",,,"0","0","25.00","2019-10-15","2019-11-11"
"OCRL-DUBLN","31040001441210","2","JUV","Wildfire : a novel","Philbrick, W. R. (W. Rodman)","2019","J PHIL",,,"0","0","25.00","2019-10-15","2020-06-10"
"OCRL-DUBLN","31040001441228","1","JUV","The good thieves","Rundell, Katherine","2019","J RUND",,,"0","0","25.00","2019-10-15","2019-10-29"
"OCRL-DUBLN","31040001441277","10","NEW-BKS","Robert B. Parker's The bitterest pill","Coleman, Reed Farrel 1956-","2019","FIC COLE",,,"1","0","25.00","2019-10-15","2020-03-10"
"OCRL-DUBLN","31040001441285","0","FIC","The American agent : a Maisie Dobbs novel","Winspear, Jacqueline 1955-","2019","FIC WINS",,,"0","0","5.00","2019-10-15","2019-10-16"
"OCRL-DUBLN","31040001441293","10","FIC","The long call","Cleeves, Ann","2019","FIC CLEE",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441319","3","FIC","A single thread","Chevalier, Tracy","2019","FIC CHEV",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441434","4","NEW-BKS","Death in focus","Perry, Anne","2019","FIC PERR",,,"1","0","25.00","2019-10-15","2020-03-09"
"OCRL-DUBLN","31040001441442","11","NEW-BKS","Things you save in a fire","Center, Katherine","2019","FIC CENT",,,"1","0","25.00","2019-10-15","2020-03-13"
"OCRL-DUBLN","31040001441459","9","FIC","The Dutch house : a novel","Patchett, Ann","2019","FIC PATC",,,"6","0","5.00","2019-10-15","2020-06-30"
"OCRL-DUBLN","31040001441467","7","FIC","Inland : a novel","Obreht, Téa","2019","FIC OBRE",,,"0","0","5.00","2019-10-15","2020-06-25"
"OCRL-DUBLN","31040001441475","3","FIC","Sapphire flames","Andrews, Ilona","2019","FIC ANDR",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441483","0","FIC","Careless love : a DCI Banks novel","Robinson, Peter 1950-","2019","FIC ROBI",,,"0","0","5.00","2019-10-15","2019-10-16"
"OCRL-DUBLN","31040001441491","4","FIC","Wrapped up in you","Shalvis, Jill","2019","FIC SHAL",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441509","8","FIC","The whisper man : a novel","North, Alex 1976-","2019","FIC NORT",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441517","1","FIC","All the wrong places : a novel","Fielding, Joy","2019","FIC FIEL",,,"0","0","5.00","2019-10-15","2020-06-03"
"OCRL-DUBLN","31040001441525","7","NEW-BKS","At death's door","Kenyon, Sherrilyn 1965-","2019","FIC KENY",,,"1","0","25.00","2019-10-15","2020-03-01"
"OCRL-DUBLN","31040001441533","0","FIC","Unto us a son is given","Leon, Donna","2019","FIC LEON",,,"0","0","5.00","2019-10-15","2019-10-16"
"OCRL-DUBLN","31040001441541","4","NEW-BKS","The testaments","Atwood, Margaret 1939-","2019","FIC ATWO",,,"7","0","25.00","2019-10-15","2020-06-30"
"OCRL-DUBLN","31040001441558","4","FIC","The right swipe : a novel","Rai, Alisha","2019","FIC RAI",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441566","6","FIC","Don't you forget about me : a novel","McFarlane, Mhairi","2019","FIC MCFA",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441574","7","FIC","Red at the bone","Woodson, Jacqueline","2019","FIC WOOD",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441582","7","FIC","The secrets we kept","Prescott, Lara","2019","FIC PRES",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441590","2","FIC","Quichotte : a novel","Rushdie, Salman","2019","FIC RUSH",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441608","5","FIC","The stalking","Graham, Heather","2019","FIC GRAH",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441616","0","SCIFI","Boundless","Salvatore, R. A. 1959-","2019","SF SALV",,,"0","0","25.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441624","8","FIC","No judgments : a novel","Cabot, Meg","2019","FIC CABO",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441632","8","FIC","Sins of the fathers","Jance, Judith A.","2019","FIC JANC",,,"0","0","5.00","2019-10-15","2020-06-16"
"OCRL-DUBLN","31040001441640","0","FIC","Crown jewel","Reich, Christopher 1961-","2019","FIC REIC",,,"0","0","5.00","2019-10-15","2019-10-16"
"OCRL-DUBLN","31040001441665","2","FIC","The third bullet","Hunter, Stephen 1946-","2013","FIC HUNT",,,"0","0","5.00","2019-10-17","2019-12-02"
"OCRL-DUBLN","31040001441749","1","NEW-BKS","Know my name : a memoir","Miller, Chanel","2019","92 MILL","000","090","6","0","25.00","2019-10-17","2020-06-30"
"OCRL-DUBLN","31040001441756","2","NEW-BKS","Permanent record","Snowden, Edward J. 1983-","2019","92 SNOW","000","090","0","0","25.00","2019-10-17","2020-02-17"
"OCRL-DUBLN","31040001441764","1","NEW-BKS","The education of an idealist : a memoir","Power, Samantha","2019","92 POWE","000","090","0","0","25.00","2019-10-17","2020-01-16"
"OCRL-DUBLN","31040001441772","6","NONFIC","Inside out : a memoir","Moore, Demi","2019","92 MOOR","000","090","0","0","25.00","2019-10-17","2020-06-16"
