"Short (Policy) Name","Record ID","Record Creator Home Lib"
"OCRL-DUBLN","1","CPRL-F"
"OCRL-DUBLN","1","HCLS-FV"
"OCRL-DUBLN","1","LEE-OAK"
"OCRL-DUBLN","1","LOPL-SW"
"OCRL-DUBLN","1","OHOOP-TATR"
"OCRL-DUBLN","1","SWGRL-SEM"
"OCRL-DUBLN","2","PIED-AUB"
"OCRL-DUBLN","5","CCL-RING"
"OCRL-DUBLN","7","CHRL-ROSS"
"OCRL-DUBLN","7","STATELIB-A"
"OCRL-DUBLN","9","WGRL-CR"
"OCRL-DUBLN","13","PIED-COM"
"OCRL-DUBLN","15","NCLS-PORTER"
"OCRL-DUBLN","18","HART-HQ"
"OCRL-DUBLN","18","SGRL-HAHIRA"
"OCRL-DUBLN","19","BROOK-HQ"
"OCRL-DUBLN","23","KRLS-KI"
"OCRL-DUBLN","23","PIED-MAY"
"OCRL-DUBLN","24","ECPL-ECPL"
"OCRL-DUBLN","24","SJRLS-SCL"
"OCRL-DUBLN","29","MGRL-LA"
"OCRL-DUBLN","30","ARL-ATH"
"OCRL-DUBLN","33","BTRL-MWL"
"OCRL-DUBLN","35","AZRLS-MA"
"OCRL-DUBLN","38","OKRL-WWC"
"OCRL-DUBLN","38","PPL-TPL"
"OCRL-DUBLN","41","ROCK-NG"
"OCRL-DUBLN","43","WGRL-PC"
"OCRL-DUBLN","48","SRL-DOUG"
"OCRL-DUBLN","48","TRRLS-CAMDN"
"OCRL-DUBLN","49","HCLS-HQS"
"OCRL-DUBLN","49","OHOOP-VIDT"
"OCRL-DUBLN","53","WORTH-SYLV"
"OCRL-DUBLN","55","TRRLS-HQ"
"OCRL-DUBLN","56","NEG-SYSTEM"
"OCRL-DUBLN","57","CHRL-LW"
"OCRL-DUBLN","59","ORLS-HDQ"
"OCRL-DUBLN","63","JCL-LVILLE"
"OCRL-DUBLN","77","LOPL-BULL"
"OCRL-DUBLN","88","LBRLS-LB"
"OCRL-DUBLN","90","THRL-HOG"
"OCRL-DUBLN","95","CHAT-SMRVL"
"OCRL-DUBLN","102","DTRL-CAMI"
"OCRL-DUBLN","106","FRRLS-GR"
"OCRL-DUBLN","106","NGRL-DW"
"OCRL-DUBLN","116","HCLS-ST"
"OCRL-DUBLN","147","CPRL-R"
"OCRL-DUBLN","150","CLAYTN-HQS"
"OCRL-DUBLN","157","TLLS-MV"
"OCRL-DUBLN","163","HALL-GVL"
"OCRL-DUBLN","169","MCCLS-HQ"
"OCRL-DUBLN","173","MRLS-MRL"
"OCRL-DUBLN","175","SGRL-VALDOSTA"
"OCRL-DUBLN","177","THRL-LAG"
"OCRL-DUBLN","192","RML-MAIN"
"OCRL-DUBLN","196","CRLS-DAWSN"
"OCRL-DUBLN","202","MOGL-SSI"
"OCRL-DUBLN","217","NCLS-COVTN"
"OCRL-DUBLN","251","TCPLS-THOMAS"
"OCRL-DUBLN","282","PMRLS-MPL"
"OCRL-DUBLN","288","PIED-JEF"
"OCRL-DUBLN","307","NEG-CLRKVL"
"OCRL-DUBLN","346","KRLS-TE"
"OCRL-DUBLN","380","STRL-SBORO"
"OCRL-DUBLN","383","MOGL-BWK"
"OCRL-DUBLN","397","MGRL-WA"
"OCRL-DUBLN","408","ARCPLS-MAIN"
"OCRL-DUBLN","409","LEE-LSB"
"OCRL-DUBLN","452","MGRL-RV"
"OCRL-DUBLN","482","OCRL-DUBLN"
"OCRL-DUBLN","497","PIED-WIN"
"OCRL-DUBLN","549","HCLS-MD"
"OCRL-DUBLN","571","GCHR-CCO"
"OCRL-DUBLN","623","SHRL-RM"
"OCRL-DUBLN","691","WGRL-HQ"
"OCRL-DUBLN","855","FRRLS-PT"
"OCRL-DUBLN","941","HOU-PE"
"OCRL-DUBLN","1261","SWGRL-DEC"
"OCRL-DUBLN","1697","DCPL-CEN"
"OCRL-DUBLN","4089","STATELIB-L"
"OCRL-DUBLN","58109","PINES"
"OCRL-GIBSN","1","CHRL-ROSS"
"OCRL-GIBSN","1","LEE-OAK"
"OCRL-GIBSN","1","OHOOP-MONT"
"OCRL-GIBSN","1","WGRL-BKM"
"OCRL-GIBSN","1","WGRL-CR"
"OCRL-GIBSN","2","PIED-MAY"
"OCRL-GIBSN","2","SGRL-HAHIRA"
"OCRL-GIBSN","2","SJRLS-SCL"
"OCRL-GIBSN","3","AZRLS-MA"
"OCRL-GIBSN","3","BROOK-HQ"
"OCRL-GIBSN","3","STATELIB-A"
"OCRL-GIBSN","4","MGRL-LA"
"OCRL-GIBSN","4","NCLS-PORTER"
"OCRL-GIBSN","4","PIED-COM"
"OCRL-GIBSN","5","ARL-ATH"
"OCRL-GIBSN","5","HART-HQ"
"OCRL-GIBSN","5","OHOOP-VIDT"
"OCRL-GIBSN","5","ROCK-NG"
"OCRL-GIBSN","5","THRL-HOG"
"OCRL-GIBSN","5","TRRLS-HQ"
"OCRL-GIBSN","5","WGRL-PC"
"OCRL-GIBSN","6","ECPL-ECPL"
"OCRL-GIBSN","6","NGRL-DW"
"OCRL-GIBSN","6","OKRL-WWC"
"OCRL-GIBSN","7","BTRL-MWL"
"OCRL-GIBSN","7","KRLS-KI"
"OCRL-GIBSN","8","HCLS-HQS"
"OCRL-GIBSN","8","LBRLS-LB"
"OCRL-GIBSN","9","NEG-SYSTEM"
"OCRL-GIBSN","9","ORLS-HDQ"
"OCRL-GIBSN","9","PPL-TPL"
"OCRL-GIBSN","9","SRL-DOUG"
"OCRL-GIBSN","10","CHRL-LW"
"OCRL-GIBSN","10","MOGL-SSI"
"OCRL-GIBSN","12","TRRLS-CAMDN"
"OCRL-GIBSN","13","HALL-GVL"
"OCRL-GIBSN","15","CPRL-R"
"OCRL-GIBSN","15","HCLS-ST"
"OCRL-GIBSN","15","JCL-LVILLE"
"OCRL-GIBSN","17","FRRLS-GR"
"OCRL-GIBSN","17","WORTH-SYLV"
"OCRL-GIBSN","20","LOPL-BULL"
"OCRL-GIBSN","23","DTRL-CAMI"
"OCRL-GIBSN","24","THRL-LAG"
"OCRL-GIBSN","25","CLAYTN-HQS"
"OCRL-GIBSN","26","CHAT-SMRVL"
"OCRL-GIBSN","27","TLLS-MV"
"OCRL-GIBSN","29","PMRLS-MPL"
"OCRL-GIBSN","29","RML-MAIN"
"OCRL-GIBSN","33","MRLS-MRL"
"OCRL-GIBSN","34","MCCLS-HQ"
"OCRL-GIBSN","36","MOGL-BWK"
"OCRL-GIBSN","39","PIED-JEF"
"OCRL-GIBSN","40","TCPLS-THOMAS"
"OCRL-GIBSN","45","CRLS-DAWSN"
"OCRL-GIBSN","46","STRL-SBORO"
"OCRL-GIBSN","50","NEG-CLRKVL"
"OCRL-GIBSN","51","SGRL-VALDOSTA"
"OCRL-GIBSN","52","NCLS-COVTN"
"OCRL-GIBSN","54","OCRL-DUBLN"
"OCRL-GIBSN","56","HCLS-MD"
"OCRL-GIBSN","59","LEE-LSB"
"OCRL-GIBSN","60","MGRL-RV"
"OCRL-GIBSN","60","MGRL-WA"
"OCRL-GIBSN","69","ARCPLS-MAIN"
"OCRL-GIBSN","74","KRLS-TE"
"OCRL-GIBSN","86","PIED-WIN"
"OCRL-GIBSN","93","GCHR-CCO"
"OCRL-GIBSN","111","WGRL-HQ"
"OCRL-GIBSN","127","SHRL-RM"
"OCRL-GIBSN","146","FRRLS-PT"
"OCRL-GIBSN","146","HOU-PE"
"OCRL-GIBSN","193","SWGRL-DEC"
"OCRL-GIBSN","389","DCPL-CEN"
"OCRL-GIBSN","519","STATELIB-L"
"OCRL-GIBSN","4933","PINES"
"OCRL-SANDR","1","STATELIB-A"
"OCRL-SANDR","1","WGRL-CR"
"OCRL-SANDR","2","CCL-RING"
"OCRL-SANDR","7","CHRL-ROSS"
"OCRL-SANDR","7","NCLS-PORTER"
"OCRL-SANDR","7","PIED-COM"
"OCRL-SANDR","8","OKRL-WWC"
"OCRL-SANDR","9","MGRL-LA"
"OCRL-SANDR","9","SJRLS-SCL"
"OCRL-SANDR","10","BROOK-HQ"
"OCRL-SANDR","10","BTRL-MWL"
"OCRL-SANDR","10","PIED-MAY"
"OCRL-SANDR","11","SGRL-HAHIRA"
"OCRL-SANDR","12","ROCK-NG"
"OCRL-SANDR","13","ARL-ATH"
"OCRL-SANDR","13","HART-HQ"
"OCRL-SANDR","14","OHOOP-VIDT"
"OCRL-SANDR","15","ECPL-ECPL"
"OCRL-SANDR","17","AZRLS-MA"
"OCRL-SANDR","19","NEG-SYSTEM"
"OCRL-SANDR","19","PPL-TPL"
"OCRL-SANDR","21","NGRL-DW"
"OCRL-SANDR","22","SRL-DOUG"
"OCRL-SANDR","23","HCLS-HQS"
