"Library","Circ Modifier","Count"
"OCRL-DUBLN","audiobook","291"
"OCRL-DUBLN","book","26217"
"OCRL-DUBLN","dvd-2","673"
"OCRL-DUBLN","video-long","20"
"OCRL-DUBLN",,"19"
"OCRL-GIBSN","book","473"
"OCRL-GIBSN","dvd-2","1"
"OCRL-GIBSN",,"11"
"OCRL-SANDR","audiobook","2"
"OCRL-SANDR","book","3752"
"OCRL-SANDR","video-long","4"
"OCRL-SANDR",,"4"
"OCRL-SOPER","audiobook","1"
"OCRL-SOPER","book","1196"
"OCRL-SOPER","dvd-2","4"
"OCRL-WRIGH","audiobook","5"
"OCRL-WRIGH","book","1766"
"OCRL-WRIGH","dvd-2","15"
"OCRL-WRIGH",,"1"
