"Short (Policy) Name","Language","Copy ID","Circ Mod (parent)","Copy status (parent)"
"OCRL-DUBLN","Arabic","1","book","In process"
"OCRL-DUBLN","Arabic","1","dvd-2","Temporarily Unavailable"
"OCRL-DUBLN","Arabic","3","book","Available"
"OCRL-DUBLN","Cherokee","1","book","Available"
"OCRL-DUBLN","Cherokee","1","book","In transit"
"OCRL-DUBLN","Chinese","1","audiobook","Available"
"OCRL-DUBLN","Chinese","1","audiobook","In process"
"OCRL-DUBLN","Chinese","2","book","Available"
"OCRL-DUBLN","Dutch","1","book","Available"
"OCRL-DUBLN","Egyptian","1","book","Available"
"OCRL-DUBLN","English","1","audiobook","Cataloging"
"OCRL-DUBLN","English","1","audiobook","Damaged"
"OCRL-DUBLN","English","1","audiobook","Reshelving"
"OCRL-DUBLN","English","1","cd","Available"
"OCRL-DUBLN","English","1","dvd-0","Checked out"
"OCRL-DUBLN","English","1","dvd-2","Canceled Transit"
"OCRL-DUBLN","English","1","dvd-2","Damaged"
"OCRL-DUBLN","English","1","dvd-2","Missing"
"OCRL-DUBLN","English","1","dvd-2","On holds shelf"
"OCRL-DUBLN","English","1","e-device","Damaged"
"OCRL-DUBLN","English","1","statepass","Long Overdue"
"OCRL-DUBLN","English","1","statepass","Lost"
"OCRL-DUBLN","English","1","talking book","Checked out"
"OCRL-DUBLN","English","1","talking book","In process"
"OCRL-DUBLN","English","1","talking book","Missing"
"OCRL-DUBLN","English","1","video-long","Temporarily Unavailable"
"OCRL-DUBLN","English","2","book","Lost and Paid"
"OCRL-DUBLN","English","2","dvd-2","Reshelving"
"OCRL-DUBLN","English","2","kit","Available"
"OCRL-DUBLN","English","2","talking book","Available"
"OCRL-DUBLN","English","3","audiobook","In transit"
"OCRL-DUBLN","English","3","book","Cataloging"
"OCRL-DUBLN","English","3","dvd-2","In transit"
"OCRL-DUBLN","English","3","statepass","Checked out"
"OCRL-DUBLN","English","4","video-long","Missing"
"OCRL-DUBLN","English","5","e-device","Temporarily Unavailable"
"OCRL-DUBLN","English","6","audiobook","Missing"
"OCRL-DUBLN","English","6","video-long","Damaged"
"OCRL-DUBLN","English","7","video-long","Checked out"
"OCRL-DUBLN","English","8","dvd-2","Lost"
"OCRL-DUBLN","English","8","statepass","Available"
"OCRL-DUBLN","English","9","book","Canceled Transit"
"OCRL-DUBLN","English","18","dvd-2","In process"
"OCRL-DUBLN","English","19","e-device","Long Overdue"
"OCRL-DUBLN","English","22","audiobook","Long Overdue"
"OCRL-DUBLN","English","23","dvd-2","Temporarily Unavailable"
"OCRL-DUBLN","English","23","e-device","Available"
"OCRL-DUBLN","English","35","video-long","Long Overdue"
"OCRL-DUBLN","English","38","e-device","Checked out"
"OCRL-DUBLN","English","100","microform","Available"
"OCRL-DUBLN","English","103","dvd-2","Checked out"
"OCRL-DUBLN","English","112","audiobook","Checked out"
"OCRL-DUBLN","English","121","audiobook","Lost"
"OCRL-DUBLN","English","140","dvd-2","Long Overdue"
"OCRL-DUBLN","English","161","book","Reshelving"
"OCRL-DUBLN","English","177","book","In process"
"OCRL-DUBLN","English","178","book","On holds shelf"
"OCRL-DUBLN","English","188","book","Damaged"
"OCRL-DUBLN","English","342","book","Missing"
"OCRL-DUBLN","English","345","video-long","Available"
"OCRL-DUBLN","English","394","book","In transit"
"OCRL-DUBLN","English","410","book","Temporarily Unavailable"
"OCRL-DUBLN","English","549","dvd-2","Available"
"OCRL-DUBLN","English","713","video-long","Lost"
"OCRL-DUBLN","English","1300","audiobook","Available"
"OCRL-DUBLN","English","1970","book","Long Overdue"
"OCRL-DUBLN","English","5363","book","Checked out"
"OCRL-DUBLN","English","6144","book","Lost"
"OCRL-DUBLN","English","73540","book","Available"
"OCRL-DUBLN","French","1","book","In process"
"OCRL-DUBLN","French","1","dvd-2","Damaged"
"OCRL-DUBLN","French","1","dvd-2","In process"
"OCRL-DUBLN","French","1","dvd-2","Lost"
"OCRL-DUBLN","French","1","dvd-2","Missing"
"OCRL-DUBLN","French","1","video-long","Lost"
"OCRL-DUBLN","French","2","audiobook","Available"
"OCRL-DUBLN","French","3","book","Long Overdue"
"OCRL-DUBLN","French","5","book","Available"
"OCRL-DUBLN","French","17","dvd-2","Checked out"
"OCRL-DUBLN","French","39","dvd-2","Available"
"OCRL-DUBLN","French","40","dvd-2","Long Overdue"
"OCRL-DUBLN","German","1","book","Checked out"
"OCRL-DUBLN","German","1","dvd-2","Available"
"OCRL-DUBLN","German","1","dvd-2","Long Overdue"
"OCRL-DUBLN","German","8","book","Available"
"OCRL-DUBLN","Greek, Ancient (to 1453)","2","book","Available"
"OCRL-DUBLN","Hebrew","1","book","Lost"
"OCRL-DUBLN","Hebrew","3","book","Available"
"OCRL-DUBLN","Inuktitut","1","dvd-2","Checked out"
"OCRL-DUBLN","Italian","2","book","Available"
"OCRL-DUBLN","Japanese","1","book","Checked out"
"OCRL-DUBLN","Japanese","1","dvd-2","Available"
"OCRL-DUBLN","Korean","1","book","Available"
"OCRL-DUBLN","Korean","1","book","Checked out"
"OCRL-DUBLN","Korean","1","book","Long Overdue"
"OCRL-DUBLN","Korean","1","dvd-2","Available"
"OCRL-DUBLN","Latin","1","book","Checked out"
"OCRL-DUBLN","Latin","2","book","Available"
"OCRL-DUBLN","Multiple languages","1","audiobook","In process"
"OCRL-DUBLN","Multiple languages","1","book","Available"
"OCRL-DUBLN","No linguistic content","1","dvd-2","Available"
"OCRL-DUBLN","No linguistic content","2","video-long","Lost"
"OCRL-DUBLN","No linguistic content","3","book","Available"
"OCRL-DUBLN","Polish","1","book","Available"
"OCRL-DUBLN","Portuguese","1","dvd-2","Available"
"OCRL-DUBLN","Portuguese","2","dvd-2","Long Overdue"
"OCRL-DUBLN","Russian","2","book","Available"
"OCRL-DUBLN","Russian","2","dvd-2","Available"
"OCRL-DUBLN","Sanskrit","1","book","Available"
"OCRL-DUBLN","Sign languages","1","book","Available"
"OCRL-DUBLN","Sign languages","1","book","Long Overdue"
"OCRL-DUBLN","Spanish","1","audiobook","Damaged"
"OCRL-DUBLN","Spanish","1","book","On holds shelf"
"OCRL-DUBLN","Spanish","1","dvd-2","Long Overdue (Legacy)"
"OCRL-DUBLN","Spanish","1","dvd-2","Missing"
"OCRL-DUBLN","Spanish","2","book","Missing"
"OCRL-DUBLN","Spanish","2","dvd-2","Lost"
"OCRL-DUBLN","Spanish","3","video-long","Available"
"OCRL-DUBLN","Spanish","3","video-long","Lost"
"OCRL-DUBLN","Spanish","4","audiobook","Available"
"OCRL-DUBLN","Spanish","4","audiobook","Lost"
"OCRL-DUBLN","Spanish","5","book","Long Overdue"
"OCRL-DUBLN","Spanish","6","dvd-2","Temporarily Unavailable"
"OCRL-DUBLN","Spanish","9","book","Checked out"
"OCRL-DUBLN","Spanish","18","book","Lost"
"OCRL-DUBLN","Spanish","23","dvd-2","Long Overdue"
"OCRL-DUBLN","Spanish","24","dvd-2","Checked out"
"OCRL-DUBLN","Spanish","35","dvd-2","Available"
"OCRL-DUBLN","Spanish","244","book","Available"
"OCRL-DUBLN","Thai","1","dvd-2","Checked out"
"OCRL-DUBLN","Thai","1","dvd-2","Long Overdue"
"OCRL-DUBLN","Undetermined","1","book","Lost"
