"Owning Library","Last Edit Date/Time","Call Number","Title","Author","Barcode","Circ Modifier","Price","Legacy Stat Cat 1 Value"
"TRRLS-BRANT","2020-03-05","LP FIC LEW","The shunning","Lewis, Beverly 1949-","PLACEHOLDER",,"0.00",
"TRRLS-CAMDN","2020-03-12","AUDIO CD FIC VON","Slaughterhouse-five","Vonnegut, Kurt","31006001992635","audiobook","30.00","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","EASY AWD","Happy birthday, Thomas! : based on the Railway series","Awdry, W.","31006003089133","book","3.99","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","EASY BER","Heavy metal Mater and other tall tales","Berrios, Frank","31006003281326","book","7.99","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","EASY BOR","Baby's first Christmas","Bordoni, Chiara.","31006002970937","book","14.99","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","EASY DIE","The pout-pout fish","Diesen, Deborah.","31006002079580","book","16.00","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","EASY SAL","Inside this book : (are three books)","Saltzberg, Barney","31006500042007","book","15.95","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","EASY WIL","What's your sound, Hound the Hound?","Willems, Mo.","31006002709194","book","14.89","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","FIC AIR","Hole in one","Aird, Catherine.","31006001256957","book","22.95","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","FIC BRO","Year of wonders : a novel of the plague","Brooks, Geraldine.","31006003035532","book","16.00","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","FIC KEL","Lone star rising : the Texas Rangers trilogy","Kelton, Elmer","31006001529866","book","25.95","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","FIC MAR","A feast for crows","Martin, George R. R.","31006003307683","book","18.00","PINES-GIFT"
"TRRLS-CAMDN","2020-03-12","FIC MAR","A storm of swords","Martin, George R. R.","31006003307667","book","18.00","PINES-GIFT"
"TRRLS-CAMDN","2020-03-12","JUV FIC CUR","The Watsons go to Birmingham--1963 : a novel","Curtis, Christopher Paul","31006000974568","book","6.50","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","JUV FIC KLE","Stop that hamster!","Klein, Abby.","31006002481588","book","3.99","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","JUV FIC LOB","The Hardy Boys, undercover brothers","Lobdell, Scott.","31006001489046","book","8.00","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","JUV FIC LOB","The Hardy Boys, undercover brothers","Lobdell, Scott.","31006001489095","book","7.95","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","JUV FIC PAR","Junie B., first grader : jingle bells, Batman smells! (P.S. so does May)","Park, Barbara.","31006001532563","book","12.00","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","JUV FIC RIO","The Hammer of Thor","Riordan, Rick","31006003471596","book","19.99","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","JUV FIC WHI","Charlotte's web","White, E. B. (Elwyn Brooks) 1899-1985","31006003212180","book","8.99","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","JUV NF 031.02 R","Ripley's believe it or not : special edition 2012",,"31006002662781","book","16.99","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","JUV NF 031.02 R ","Ripley's believe it or not!",,"31006003089885","book","12.99","PINES-FICTION"
"TRRLS-CAMDN","2020-03-12","JUV NF 398.45 M","The wandmaker's guidebook","Masessa, Ed.","31006003262607","book","19.99","PINES-FICTION"
