"Owning Library","Create Date","Call Number","Title","Author","Barcode","Circ Modifier","Price","Legacy Stat Cat 1 Value"
"TRRLS-BRANT","2020-03-05 13:09:06-05","AUDIO CD FIC WIG","The Oysterville Sewing Circle : a novel","Wiggs, Susan","31006003808417","audiobook","39.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-05 13:11:20-05","AUDIO CD FIC SAN","Holy ghost : a Virgil Flowers novel","Sandford, John 1944 February 23-","31006003808425","audiobook","40.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-05 13:13:40-05","FIC DEV","A forgotten murder","Deveraux, Jude","31006003808433","book","26.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-05 13:15:33-05","FIC DAU","Revolver road","Daugherty, Christi","31006003808441","book","27.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-05 13:19:07-05","FIC CUS","Journey of the pharaohs : a novel from the NUMA files","Cussler, Clive","31006003808458","book","29.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-05 13:20:51-05","LP FIC GRA","The protective one","Gray, Shelley Shepard","31006003808474","book","33.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-05 13:47:24-05","FIC MAR","A reasonable doubt","Margolin, Phillip","31006003820016","book","27.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 11:20:38-04","FIC AMI","An Amish picnic : four stories",,"31006003831245","book","15.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 11:46:29-04","FIC POO","The authenticity project","Pooley, Clare","31006003831237","book","26.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 12:03:46-04","BIO KEATON","Brother & sister","Keaton, Diane","31006003831229","book","25.95","PINES-BIOGRAPHY"
"TRRLS-BRANT","2020-03-09 12:18:08-04","FIC PIN","Dead to her : a novel","Pinborough, Sarah 1972-","31006003831211","book","27.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 12:20:55-04","FIC TOD","A divided loyalty","Todd, Charles","31006003831203","book","28.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 12:22:14-04","FIC BOX","Long range","Box, C. J.","31006003831195","book","28.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 12:37:48-04","NON FIC 791.4097 D","Montana entertainers : famous and almost forgotten","D'Ambrosio, Brian","31006003831187","book","21.99","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-09 12:39:35-04","FIC OCO","Murder in an Irish cottage","O'Connor, Carlene","31006003831179","book","26.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 12:44:10-04","FIC STE","The numbers game : a novel","Steel, Danielle","31006003831161","book","28.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 13:00:47-04","FIC HOO","Robert Ludlum's The Treadstone resurrection","Hood, Joshua","31006003831153","book","27.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 13:04:00-04","FIC HED","The runaway bride","Hedlund, Jody","31006003831146","book","15.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 13:05:50-04","FIC SMI","Star of Persia : Esther's story","Smith, Jill Eileen 1958-","31006003831138","book","15.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 13:07:55-04","FIC PET","Secrets of my heart","Peterson, Tracie","31006003831120","book","15.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 13:09:38-04","FIC CON","Woman of sunlight","Connealy, Mary","31006003831112","book","14.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 13:14:26-04","FIC CHI","Lavender blue murder","Childs, Laura","31006003831104","book","26.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 14:37:57-04","FIC RIC","Last day","Rice, Luanne","31006003831096","book","24.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 14:44:48-04","NON FIC 973.933 R","A very stable genius : Donald J. Trump's testing of America","Rucker, Philip","31006003831088","book","30.00","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-09 16:02:07-04","YA FIC MAA","Crescent City : house of Earth and blood","Maas, Sarah J.","31006003830999","book","28.00","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 16:05:56-04","YA FIC CLA","Chain of gold","Clare, Cassandra","31006003830981","book","24.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 16:08:21-04","JUV FIC PAT","Master of disaster","Patterson, James 1947-","31006003830973","book","13.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 16:09:51-04","EASY DEA","Pete the cat : five little bunnies","Dean, Kim 1969-","31006003830965","book","9.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-09 16:11:09-04","EASY JOH","The great eggscape!","John, Jory","31006003830957","book","10.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 11:35:17-04","EASY SEN","Unicorn club","Senior, Suzy","31006003830759","book","21.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 11:43:30-04","EASY SMI","The dinky donkey","Smith, Craig 1972-","31006003830742","book","17.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 11:47:34-04","EASY KAN","Pinkalicious dragon to the rescue","Kann, Victoria","31006003830726","book","14.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 11:54:07-04","EASY HIG","The last pup-icorn","Higginson, Sheila Sweeny 1966-","31006003830700","book","14.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 12:41:07-04","EASY HOL","Peppa's magical unicorn","Holloway, Lauren","31006003830676","book","13.89","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 15:11:26-04","EASY GAS","Do not bring your dragon to the last day of school","Gassman, Julie","31006003830668","book","16.95","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 15:51:36-04","JUV FIC PEI","Big Nate. Hug it out!","Peirce, Lincoln","31006003831914","book","21.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 16:24:54-04","JUV FIC SUT VOL.1","Wings of fire : the graphic novel","Sutherland, Tui 1978-","31006003831880","book","23.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 16:27:57-04","JUV FIC HOL","Athena & the magic land","Holub, Joan","31006003831831","book","15.49","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 16:33:53-04","JUV FIC WES","Zeus and the dreadful dragon","West, Tracey 1965-","31006003831815","book","15.49","PINES-FICTION"
"TRRLS-BRANT","2020-03-11 17:00:42-04","JUV FIC SYK","Sophia and Rainbow","Sykes, Julie","31006003831765","book","16.36","PINES-FICTION"
"TRRLS-BRANT","2020-03-12 10:42:18-04","JUV FIC SMA","Bailey the bunny","Small, Lily","31006003831732","book","15.49","PINES-FICTION"
"TRRLS-BRANT","2020-03-16 12:55:20-04","JUV FIC SCH","Littler women : a modern retelling","Schaefer, Laura","31006003832359","book","18.36","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 10:48:50-04","EASY SNI","Bane drain","Snider, Brandon T.","31006003832185","book","18.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 11:24:28-04","JUV FIC GID","The creature of the pines","Gidwitz, Adam","31006003832177","book","18.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 11:25:56-04","JUV FIC MIL","Bentley","Miles, Ellen","31006003832169","book","16.36","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 11:43:29-04","JUV NF 398.245 L","Unicorns","London, Martha","31006003832151","book","19.95","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-17 11:53:46-04","JUV FIC MIE","The scary library shusher","Miedoso, Andres","31006003832144","book","15.36","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 12:06:10-04","JUV FIC ATW","Attack of the deadly diapers","Atwood, Megan","31006003832136","book","18.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 12:12:26-04","JUV FIC DOE","Could you survive the Jurassic period? : an interactive prehistoric adventure","Doeden, Matt","31006003832128","book","24.49","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 12:18:56-04","JUV FIC CHA","The Shadowlands","Charman, Katrina","31006003832110","book","15.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 12:25:04-04","JUV FIC STE","Mr. Wolf's class. Lucky stars","Steinke, Aron Nels","31006003832102","book","20.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 15:35:13-04","EASY MAN","The best baker","Manushkin, Fran","31006003832094","book","15.99","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 15:47:59-04","JUV NF 398.469 C","The book of dragons : secrets of the dragon domain","Caldwell, S. A. (Stella A.)","31006003832086","book","23.96","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-17 16:00:25-04","JUV NF 793.93 R","Minecraft STEM challenge : build a theme park","Rooney, Anne","31006003832078","book","23.49","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-17 16:04:49-04","JUV FIC BEA","Star Wars adventures. Destroyer down","Beatty, Scott 1969-","31006003832060","book","21.96","PINES-FICTION"
"TRRLS-BRANT","2020-03-17 16:06:33-04","JUV NF 507.8 H","Super hero science","Hackett, Jennifer","31006003832052","book","23.96","PINES-NONFICTION"
"TRRLS-BRANT","2020-03-18 09:48:07-04","AUDIO CD FIC TUR","Diamond in the rough","Turano, Jen","31006003821337","audiobook","34.99","PINES-FICTION"
