"Short (Policy) Name","Lang","Circ Modifier","Copy ID","name"
"OCRL-DUBLN","ara","book","1","Checked out"
"OCRL-DUBLN","ara","book","2","Available"
"OCRL-DUBLN","ara","book","2","Lost"
"OCRL-DUBLN","art","book","1","Available"
"OCRL-DUBLN","chi","audiobook","1","Available"
"OCRL-DUBLN","chi","audiobook","1","Lost"
"OCRL-DUBLN","chi","book","1","Lost"
"OCRL-DUBLN","chi","book","4","Available"
"OCRL-DUBLN","chr","book","5","Available"
"OCRL-DUBLN","egy","book","1","Available"
"OCRL-DUBLN","eng","audiobook","1","Cataloging"
"OCRL-DUBLN","eng","audiobook","1","Damaged"
"OCRL-DUBLN","eng","audiobook","2","Discard/Weed"
"OCRL-DUBLN","eng","audiobook","2","In process"
"OCRL-DUBLN","eng","audiobook","5","In transit"
"OCRL-DUBLN","eng","audiobook","8","Missing"
"OCRL-DUBLN","eng","audiobook","15","Reshelving"
"OCRL-DUBLN","eng","audiobook","24","Long Overdue"
"OCRL-DUBLN","eng","audiobook","38","Checked out"
"OCRL-DUBLN","eng","audiobook","115","Lost"
"OCRL-DUBLN","eng","audiobook","1220","Available"
"OCRL-DUBLN","eng","book","2","Lost and Paid"
"OCRL-DUBLN","eng","book","3","Cataloging"
"OCRL-DUBLN","eng","book","5","Bindery"
"OCRL-DUBLN","eng","book","10","Canceled Transit"
"OCRL-DUBLN","eng","book","71","In process"
"OCRL-DUBLN","eng","book","130","On holds shelf"
"OCRL-DUBLN","eng","book","187","Damaged"
"OCRL-DUBLN","eng","book","342","Discard/Weed"
"OCRL-DUBLN","eng","book","366","Missing"
"OCRL-DUBLN","eng","book","443","Temporarily Unavailable"
"OCRL-DUBLN","eng","book","493","In transit"
"OCRL-DUBLN","eng","book","595","Reshelving"
"OCRL-DUBLN","eng","book","1859","Checked out"
"OCRL-DUBLN","eng","book","2235","Long Overdue"
"OCRL-DUBLN","eng","book","6155","Lost"
"OCRL-DUBLN","eng","book","77884","Available"
"OCRL-DUBLN","eng","cd","1","Available"
"OCRL-DUBLN","eng","dvd-0","1","Available"
"OCRL-DUBLN","eng","dvd-2","1","Damaged"
"OCRL-DUBLN","eng","dvd-2","3","Reshelving"
"OCRL-DUBLN","eng","dvd-2","7","Lost"
"OCRL-DUBLN","eng","dvd-2","20","Temporarily Unavailable"
"OCRL-DUBLN","eng","dvd-2","48","Checked out"
"OCRL-DUBLN","eng","dvd-2","126","Long Overdue"
"OCRL-DUBLN","eng","dvd-2","173","In process"
"OCRL-DUBLN","eng","dvd-2","713","Available"
"OCRL-DUBLN","eng","e-device","2","Damaged"
"OCRL-DUBLN","eng","e-device","3","Checked out"
"OCRL-DUBLN","eng","e-device","5","Temporarily Unavailable"
"OCRL-DUBLN","eng","e-device","24","Long Overdue"
"OCRL-DUBLN","eng","e-device","52","Available"
"OCRL-DUBLN","eng","equipment-local","4","In process"
"OCRL-DUBLN","eng","kit","1","Available"
"OCRL-DUBLN","eng","microform","100","Available"
"OCRL-DUBLN","eng","statepass","1","Lost"
"OCRL-DUBLN","eng","statepass","17","Available"
"OCRL-DUBLN","eng","talking book","1","In process"
"OCRL-DUBLN","eng","talking book","1","Long Overdue"
"OCRL-DUBLN","eng","talking book","1","Missing"
"OCRL-DUBLN","eng","talking book","2","Available"
"OCRL-DUBLN","eng","video-long","1","Temporarily Unavailable"
"OCRL-DUBLN","eng","video-long","4","Checked out"
"OCRL-DUBLN","eng","video-long","4","Missing"
"OCRL-DUBLN","eng","video-long","6","Damaged"
"OCRL-DUBLN","eng","video-long","36","Long Overdue"
"OCRL-DUBLN","eng","video-long","347","Available"
"OCRL-DUBLN","eng","video-long","712","Lost"
"OCRL-DUBLN","enm","book","1","Available"
"OCRL-DUBLN","fre","audiobook","3","Available"
"OCRL-DUBLN","fre","book","2","Long Overdue"
"OCRL-DUBLN","fre","book","7","Available"
